id,trial_num,word1,word2,word3,word4,word5,correct_word,correct_position,response,accuracy
05zds,1,Nale,Sahe,Nase,Nesa,Sehna,Nase,3,3,1
05zds,2,Funktion,Kuntion,Finzahm,Tuntion,Tunkion,Funktion,1,1,1
05zds,3,Struk,Streik,Sturk,Strek,Kreik,Streik,2,2,1
05zds,4,Kulinse,Kulerane,Kulisse,Klubihle,Kubistane,Kulisse,3,3,1
05zds,5,Kenekel,Gesonk,Kelume,Gelenk,Gelerge,Gelenk,4,4,1
05zds,6,siziol,salzahl,sozihl,sziam,sozial,sozial,5,5,1
05zds,7,Sympasie,Symmofeltrie,Symmantrie,Symphonie,Symplanie,Symphonie,4,4,1
05zds,8,Umma,Pamme,Nelle,Ampe,Amme,Amme,5,5,1
05zds,9,Krusse,Surke,Krustelle,Kruste,Struke,Kruste,4,4,1
05zds,10,Kirse,Sirke,Krise,Krospe,Serise,Krise,3,3,1
05zds,11,Tinxur,Kukutur,Fraktan,Tinktur,Rimsuhr,Tinktur,4,4,1
05zds,12,Unfision,Fudision,Infusion,Syntusion,Nuridion,Infusion,3,3,1
05zds,13,Feudasmus,Fonderismus,Föderalismus,Födismus,Föderasmus,Föderalismus,3,3,1
05zds,14,Redor,Radium,Terion,Dramin,Orakium,Radium,2,2,1
05zds,15,kentern,knerte,kanzen,kretern,trekern,kentern,1,1,1
05zds,16,Kantate,Rakante,Kenture,Krutehne,Kallara,Kantate,1,0,0
05zds,17,schalieren,waschieren,wakieren,schackieren,kaschieren,kaschieren,5,5,1
05zds,18,Tuhl,Lar,Lest,Dall,Lid,Lid,5,3,0
05zds,19,Dissonanz,Diskrisanz,Distranz,Dinotanz,Siodenz,Dissonanz,1,1,1
05zds,20,Ferindo,Inferno,Orfina,Firanetto,Imfindio,Inferno,2,2,1
05zds,21,Rilkiase,Kilister,Riliker,Klistier,Linkure,Klistier,4,0,0
05zds,22,kurinesisch,kulinarisch,kumensisch,kulissarisch,kannastrisch,kulinarisch,2,2,1
05zds,23,Rosto,Torso,Soro,Torgos,Tosor,Torso,2,2,1
05zds,24,Kleiber,Beikel,Keibel,Reikler,Biekerl,Kleiber,1,0,0
05zds,25,Ralke,Korre,Ruckse,Recke,Ulte,Recke,4,4,1
05zds,26,Lamone,Talane,Matrone,Tarone,Malonte,Matrone,3,3,1
05zds,27,Tuma,Umat,Maut,Taum,Muta,Maut,3,3,1
05zds,28,Sorekin,Sarowin,Rosakin,Narosin,Kerosin,Kerosin,5,5,1
05zds,29,beralen,gerältet,anälteren,untären,verbrämen,verbrämen,5,0,0
05zds,30,Kapaun,Paukan,Naupack,Aupeck,Ankepran,Kapaun,1,0,0
05zds,31,Sickaber,Bassiker,Kassiber,Sassiker,Askiber,Kassiber,3,0,0
05zds,32,Pucker,Keuper,Eucker,Reuspeck,Urkane,Keuper,2,1,0
05zds,33,Spirine,Saprin,Parsin,Purin,Asprint,Purin,4,4,1
05zds,34,Kulon,Solgun,Koskan,Soran,Klonus,Klonus,5,4,0
05zds,35,Adept,Padet,Edapt,Epatt,Taped,Adept,1,0,0
05zds,36,Gindelat,Tingerat,Indigenat,Nitgesaar,Ringelaar,Indigenat,3,0,0
05zds,37,Berkizia,Brekzie,Birakize,Brikazie,Bakiria,Brekzie,2,0,0
07wj6,1,Nale,Sahe,Nase,Nesa,Sehna,Nase,3,3,1
07wj6,2,Funktion,Kuntion,Finzahm,Tuntion,Tunkion,Funktion,1,1,1
07wj6,3,Struk,Streik,Sturk,Strek,Kreik,Streik,2,2,1
07wj6,4,Kulinse,Kulerane,Kulisse,Klubihle,Kubistane,Kulisse,3,3,1
07wj6,5,Kenekel,Gesonk,Kelume,Gelenk,Gelerge,Gelenk,4,4,1
07wj6,6,siziol,salzahl,sozihl,sziam,sozial,sozial,5,5,1
07wj6,7,Sympasie,Symmofeltrie,Symmantrie,Symphonie,Symplanie,Symphonie,4,4,1
07wj6,8,Umma,Pamme,Nelle,Ampe,Amme,Amme,5,5,1
07wj6,9,Krusse,Surke,Krustelle,Kruste,Struke,Kruste,4,4,1
07wj6,10,Kirse,Sirke,Krise,Krospe,Serise,Krise,3,3,1
07wj6,11,Tinxur,Kukutur,Fraktan,Tinktur,Rimsuhr,Tinktur,4,4,1
07wj6,12,Unfision,Fudision,Infusion,Syntusion,Nuridion,Infusion,3,3,1
07wj6,13,Feudasmus,Fonderismus,Föderalismus,Födismus,Föderasmus,Föderalismus,3,3,1
07wj6,14,Redor,Radium,Terion,Dramin,Orakium,Radium,2,2,1
07wj6,15,kentern,knerte,kanzen,kretern,trekern,kentern,1,1,1
07wj6,16,Kantate,Rakante,Kenture,Krutehne,Kallara,Kantate,1,1,1
07wj6,17,schalieren,waschieren,wakieren,schackieren,kaschieren,kaschieren,5,5,1
07wj6,18,Tuhl,Lar,Lest,Dall,Lid,Lid,5,5,1
07wj6,19,Dissonanz,Diskrisanz,Distranz,Dinotanz,Siodenz,Dissonanz,1,1,1
07wj6,20,Ferindo,Inferno,Orfina,Firanetto,Imfindio,Inferno,2,2,1
07wj6,21,Rilkiase,Kilister,Riliker,Klistier,Linkure,Klistier,4,4,1
07wj6,22,kurinesisch,kulinarisch,kumensisch,kulissarisch,kannastrisch,kulinarisch,2,2,1
07wj6,23,Rosto,Torso,Soro,Torgos,Tosor,Torso,2,2,1
07wj6,24,Kleiber,Beikel,Keibel,Reikler,Biekerl,Kleiber,1,1,1
07wj6,25,Ralke,Korre,Ruckse,Recke,Ulte,Recke,4,4,1
07wj6,26,Lamone,Talane,Matrone,Tarone,Malonte,Matrone,3,3,1
07wj6,27,Tuma,Umat,Maut,Taum,Muta,Maut,3,5,0
07wj6,28,Sorekin,Sarowin,Rosakin,Narosin,Kerosin,Kerosin,5,5,1
07wj6,29,beralen,gerältet,anälteren,untären,verbrämen,verbrämen,5,5,1
07wj6,30,Kapaun,Paukan,Naupack,Aupeck,Ankepran,Kapaun,1,1,1
07wj6,31,Sickaber,Bassiker,Kassiber,Sassiker,Askiber,Kassiber,3,5,0
07wj6,32,Pucker,Keuper,Eucker,Reuspeck,Urkane,Keuper,2,1,0
07wj6,33,Spirine,Saprin,Parsin,Purin,Asprint,Purin,4,3,0
07wj6,34,Kulon,Solgun,Koskan,Soran,Klonus,Klonus,5,5,1
07wj6,35,Adept,Padet,Edapt,Epatt,Taped,Adept,1,5,0
07wj6,36,Gindelat,Tingerat,Indigenat,Nitgesaar,Ringelaar,Indigenat,3,2,0
07wj6,37,Berkizia,Brekzie,Birakize,Brikazie,Bakiria,Brekzie,2,2,1
0i8rx,1,Nale,Sahe,Nase,Nesa,Sehna,Nase,3,3,1
0i8rx,2,Funktion,Kuntion,Finzahm,Tuntion,Tunkion,Funktion,1,1,1
0i8rx,3,Struk,Streik,Sturk,Strek,Kreik,Streik,2,2,1
0i8rx,4,Kulinse,Kulerane,Kulisse,Klubihle,Kubistane,Kulisse,3,3,1
0i8rx,5,Kenekel,Gesonk,Kelume,Gelenk,Gelerge,Gelenk,4,4,1
0i8rx,6,siziol,salzahl,sozihl,sziam,sozial,sozial,5,5,1
0i8rx,7,Sympasie,Symmofeltrie,Symmantrie,Symphonie,Symplanie,Symphonie,4,4,1
0i8rx,8,Umma,Pamme,Nelle,Ampe,Amme,Amme,5,5,1
0i8rx,9,Krusse,Surke,Krustelle,Kruste,Struke,Kruste,4,4,1
0i8rx,10,Kirse,Sirke,Krise,Krospe,Serise,Krise,3,3,1
0i8rx,11,Tinxur,Kukutur,Fraktan,Tinktur,Rimsuhr,Tinktur,4,4,1
0i8rx,12,Unfision,Fudision,Infusion,Syntusion,Nuridion,Infusion,3,3,1
0i8rx,13,Feudasmus,Fonderismus,Föderalismus,Födismus,Föderasmus,Föderalismus,3,3,1
0i8rx,14,Redor,Radium,Terion,Dramin,Orakium,Radium,2,2,1
0i8rx,15,kentern,knerte,kanzen,kretern,trekern,kentern,1,1,1
0i8rx,16,Kantate,Rakante,Kenture,Krutehne,Kallara,Kantate,1,1,1
0i8rx,17,schalieren,waschieren,wakieren,schackieren,kaschieren,kaschieren,5,5,1
0i8rx,18,Tuhl,Lar,Lest,Dall,Lid,Lid,5,3,0
0i8rx,19,Dissonanz,Diskrisanz,Distranz,Dinotanz,Siodenz,Dissonanz,1,1,1
0i8rx,20,Ferindo,Inferno,Orfina,Firanetto,Imfindio,Inferno,2,2,1
0i8rx,21,Rilkiase,Kilister,Riliker,Klistier,Linkure,Klistier,4,4,1
0i8rx,22,kurinesisch,kulinarisch,kumensisch,kulissarisch,kannastrisch,kulinarisch,2,2,1
0i8rx,23,Rosto,Torso,Soro,Torgos,Tosor,Torso,2,2,1
0i8rx,24,Kleiber,Beikel,Keibel,Reikler,Biekerl,Kleiber,1,1,1
0i8rx,25,Ralke,Korre,Ruckse,Recke,Ulte,Recke,4,4,1
0i8rx,26,Lamone,Talane,Matrone,Tarone,Malonte,Matrone,3,3,1
0i8rx,27,Tuma,Umat,Maut,Taum,Muta,Maut,3,3,1
0i8rx,28,Sorekin,Sarowin,Rosakin,Narosin,Kerosin,Kerosin,5,5,1
0i8rx,29,beralen,gerältet,anälteren,untären,verbrämen,verbrämen,5,5,1
0i8rx,30,Kapaun,Paukan,Naupack,Aupeck,Ankepran,Kapaun,1,1,1
0i8rx,31,Sickaber,Bassiker,Kassiber,Sassiker,Askiber,Kassiber,3,3,1
0i8rx,32,Pucker,Keuper,Eucker,Reuspeck,Urkane,Keuper,2,2,1
0i8rx,33,Spirine,Saprin,Parsin,Purin,Asprint,Purin,4,4,1
0i8rx,34,Kulon,Solgun,Koskan,Soran,Klonus,Klonus,5,5,1
0i8rx,35,Adept,Padet,Edapt,Epatt,Taped,Adept,1,1,1
0i8rx,36,Gindelat,Tingerat,Indigenat,Nitgesaar,Ringelaar,Indigenat,3,3,1
0i8rx,37,Berkizia,Brekzie,Birakize,Brikazie,Bakiria,Brekzie,2,3,0
0oss0,1,Nale,Sahe,Nase,Nesa,Sehna,Nase,3,3,1
0oss0,2,Funktion,Kuntion,Finzahm,Tuntion,Tunkion,Funktion,1,1,1
0oss0,3,Struk,Streik,Sturk,Strek,Kreik,Streik,2,2,1
0oss0,4,Kulinse,Kulerane,Kulisse,Klubihle,Kubistane,Kulisse,3,3,1
0oss0,5,Kenekel,Gesonk,Kelume,Gelenk,Gelerge,Gelenk,4,4,1
0oss0,6,siziol,salzahl,sozihl,sziam,sozial,sozial,5,5,1
0oss0,7,Sympasie,Symmofeltrie,Symmantrie,Symphonie,Symplanie,Symphonie,4,4,1
0oss0,8,Umma,Pamme,Nelle,Ampe,Amme,Amme,5,5,1
0oss0,9,Krusse,Surke,Krustelle,Kruste,Struke,Kruste,4,4,1
0oss0,10,Kirse,Sirke,Krise,Krospe,Serise,Krise,3,3,1
0oss0,11,Tinxur,Kukutur,Fraktan,Tinktur,Rimsuhr,Tinktur,4,4,1
0oss0,12,Unfision,Fudision,Infusion,Syntusion,Nuridion,Infusion,3,3,1
0oss0,13,Feudasmus,Fonderismus,Föderalismus,Födismus,Föderasmus,Föderalismus,3,3,1
0oss0,14,Redor,Radium,Terion,Dramin,Orakium,Radium,2,2,1
0oss0,15,kentern,knerte,kanzen,kretern,trekern,kentern,1,1,1
0oss0,16,Kantate,Rakante,Kenture,Krutehne,Kallara,Kantate,1,1,1
0oss0,17,schalieren,waschieren,wakieren,schackieren,kaschieren,kaschieren,5,5,1
0oss0,18,Tuhl,Lar,Lest,Dall,Lid,Lid,5,5,1
0oss0,19,Dissonanz,Diskrisanz,Distranz,Dinotanz,Siodenz,Dissonanz,1,1,1
0oss0,20,Ferindo,Inferno,Orfina,Firanetto,Imfindio,Inferno,2,2,1
0oss0,21,Rilkiase,Kilister,Riliker,Klistier,Linkure,Klistier,4,4,1
0oss0,22,kurinesisch,kulinarisch,kumensisch,kulissarisch,kannastrisch,kulinarisch,2,2,1
0oss0,23,Rosto,Torso,Soro,Torgos,Tosor,Torso,2,2,1
0oss0,24,Kleiber,Beikel,Keibel,Reikler,Biekerl,Kleiber,1,1,1
0oss0,25,Ralke,Korre,Ruckse,Recke,Ulte,Recke,4,0,0
0oss0,26,Lamone,Talane,Matrone,Tarone,Malonte,Matrone,3,3,1
0oss0,27,Tuma,Umat,Maut,Taum,Muta,Maut,3,3,1
0oss0,28,Sorekin,Sarowin,Rosakin,Narosin,Kerosin,Kerosin,5,5,1
0oss0,29,beralen,gerältet,anälteren,untären,verbrämen,verbrämen,5,5,1
0oss0,30,Kapaun,Paukan,Naupack,Aupeck,Ankepran,Kapaun,1,1,1
0oss0,31,Sickaber,Bassiker,Kassiber,Sassiker,Askiber,Kassiber,3,3,1
